feature_id,start_frame,used_num,score,stereo_error[3],track_error_per_frame[3],truth_error_per_frame[4]
933,72,1,0.39865,0 0 0,,
935,72,1,3.4517,0 0 0,,
936,72,1,23.7387,0 0 0,,
937,72,1,0.394178,0 0 0,,
938,72,1,0.553061,0 0 0,,
939,72,1,2.32015,0 0 0,,
940,72,1,7.97194,0 0 0,,
942,72,1,0.54321,0 0 0,,
944,72,1,0.948151,0 0 0,,
946,72,1,2.91697,0 0 0,,
948,72,1,1.72065,0 0 0,,
949,72,1,0.893262,0 0 0,,
951,72,1,13.818,0 0 0,,
953,72,1,0.365584,0 0 0,,
956,72,1,0.927847,0 0 0,,
957,72,1,1.67711,0 0 0,,
959,72,1,0.414361,0 0 0,,
961,72,1,1.37831,0 0 0,,
962,72,1,1.03333,0 0 0,,
967,72,1,36.4938,0 0 0,,
970,73,1,0.422209,0 0 0,,
971,73,1,1.38892,0 0 0,,
972,73,1,1.85411,0 0 0,,
973,73,1,1.61455,0 0 0,,
974,73,1,1.43851,0 0 0,,
975,73,1,0.207527,0 0 0,,
976,73,1,1.32297,0 0 0,,
977,73,1,0.383639,0 0 0,,
978,73,1,0.29687,0 0 0,,
979,73,1,0.751153,0 0 0,,
980,73,1,0.165549,0 0 0,,
981,73,1,0.863997,0 0 0,,
982,73,1,0.402956,0 0 0,,
983,73,1,0.220469,0 0 0,,
984,73,1,38670.9,0 0 0,,
985,73,1,696.078,0 0 0,,
986,73,1,0.90075,0 0 0,,
988,73,1,1.81134,0 0 0,,
989,73,1,0.45918,0 0 0,,
990,73,1,0.665335,0 0 0,,
991,73,1,1.90493,0 0 0,,
993,73,1,0.851341,0 0 0,,
995,73,1,0.595593,0 0 0,,
996,73,1,10981.7,0 0 0,,
997,73,1,1.66537,0 0 0,,
998,73,1,0.889723,0 0 0,,
999,73,1,0.381671,0 0 0,,
1000,73,1,0.704822,0 0 0,,
1001,73,1,0.203176,0 0 0,,
1002,73,1,0.386919,0 0 0,,
1003,73,1,1.16173,0 0 0,,
1006,73,1,0.40941,0 0 0,,
1009,73,1,3.05538,0 0 0,,
1010,73,1,0.896963,0 0 0,,
1011,74,1,0.174565,0 0 0,,
1012,74,1,0.345749,0 0 0,,
1013,74,1,1.68962,0 0 0,,
1014,74,1,1.32959,0 0 0,,
1015,74,1,2.33352,0 0 0,,
1017,74,1,0.579972,0 0 0,,
1018,74,1,0.411776,0 0 0,,
1019,74,1,5.53732,0 0 0,,
1020,74,1,0.929029,0 0 0,,
1021,74,1,1.30569,0 0 0,,
1023,74,1,13859,0 0 0,,
1027,74,1,1.14597,0 0 0,,
1028,74,1,0.266546,0 0 0,,
1029,74,1,1.56696,0 0 0,,
1030,74,1,1.07126,0 0 0,,
1032,74,1,1.00987,0 0 0,,
1033,74,1,0.610841,0 0 0,,
